,Sentence,PreprocessedSentence,Sentiment
5500,"In Finland , 71 % of paper and paperboard is reclaimed .",finland of paper paperboard be reclaim,neutral
5501,"A total of 750,330 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed in December exercising the A-B-C options based on the company 's stock option plan 1999 .",total of new citycon share with nominal value of eur per share be subscribe december exercise abc option base company stock option plan,neutral
5502,$GRPN might be selling off ahead of $P earnings...,grpn might be sell off ahead of p earning,negative
5503,"The above mentioned shareholders will suggest that a monthly salary of EUR 1,400 would be paid for the Board members outside the company .",above mention shareholder suggest that monthly salary of eur would be pay for board member outside company,neutral
5504,Arm profits and sales up as shift away from mobile gains pace,arm profit sale up as shift away from mobile gain pace,positive
5505,"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",incap contract manufacturing carry out manufacturing for these agreement at its factory tumkur near bangalore,neutral
5506,Cargo volume increased by approximately 5 % .,cargo volume increase by approximately,positive
5507,$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,googl hit with lawsuit from russian search engine yndx,negative
5508,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,aapl action into close indicate that aapl probably hit near term high momentum slow after huge run,positive
5509,"So far the company has awarded more than $ 350,000 worth of tools and materials .",so far company have award more than worth of tool material,neutral
5510,"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",however company see its net profit for third quarter down to eur m from eur m for corresponding period of,negative
5512,"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",finnish management software solution provider ixono oyj net profit decrease to euro for first quarter of from euro mln for same period of,negative
5513,"The bank also expects additional costs , related to the Dash 8 - Q400 jets , which the group shelved in October 2007 .",bank also expect additional cost relate to dash q jet which group shelve october,neutral
5514,The turbines are expected to be launched by the end of 2012 .,turbine be expect to be launch by end of,neutral
5515,"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .",adpnews sep finnish silicon wafer maker okmetic oyj hel okmv say it reduce number of its clerical worker by worldwide as result of personnel negotiation complete today,neutral
5516,Shell offers 50 percent premium to buy BG for $70 billion,she offer percent premium to buy bg for billion,positive
5517,Lean System supports change management and component purchasing extremely well .,lean system support change management component purchasing extremely well,positive
5518,Incap Furniture is presently negotiating staff cuts .,incap furniture be presently negotiate staff cut,negative
5519,"To see more of New Haven Register , or to subscribe to the newspaper .",to see more of new haven register to subscribe to newspaper,neutral
5520,"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",production level have be agree with producer long time ago so fall consumption lead to loss,negative
5522,Diageo Shares Surge on Report of Possible Takeover by Lemann,diageo share surge report of possible takeover by lemann,positive
5523,`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .,our approach be very much to only use raw material that be produce line with principle of sustainable development,neutral
5524,"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .",nordea definitely too big for sampo to acquire ' say analyst sampo would appear to have agenda for nordea ahead of privatisation,neutral
5525,"Ahlstrom , headquartered in Helsinki , Finland , is a global company involved in the development , manufacture and marketing of high performance fibre-based materials .",ahlstrom headquarter helsinki finland be global company involve development manufacture marketing of high performance fibrebase material,neutral
5526,"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",redesign crush circuit have be operation since start of september its overall production rate weekly basis be excess of average of tonne day,neutral
